,nome,DURACAO,tempo,MODOPRIN,diferenca,diferenca_por,tempo_open
36,14809,10.0,2.3083333333333336,bike,7.691666666666666,76.91666666666667,271.0
33,14810,10.0,2.2583333333333333,bike,7.741666666666667,77.41666666666667,296.1
232,15500,20.0,8.133333333333333,bike,11.866666666666667,59.333333333333336,480.3
149,15501,20.0,6.266666666666667,bike,13.733333333333334,68.66666666666667,387.0
247,15502,20.0,8.525,bike,11.475,57.375,480.3
209,15503,20.0,7.541666666666666,bike,12.458333333333334,62.291666666666664,387.0
430,15807,15.0,13.8,bike,1.1999999999999993,7.999999999999995,788.8
498,15808,10.0,16.15,bike,6.149999999999999,61.499999999999986,620.7
297,16822,10.0,9.95,bike,0.05000000000000071,0.5000000000000071,252.1
210,16823,10.0,7.566666666666666,bike,2.4333333333333336,24.333333333333336,242.1
438,17784,45.0,14.083333333333334,bike,30.916666666666664,68.7037037037037,500.5
559,17785,60.0,18.966666666666665,bike,41.03333333333333,68.38888888888889,680.7
221,17786,5.0,7.833333333333333,bike,2.833333333333333,56.666666666666664,358.0
453,17921,15.0,14.483333333333333,bike,0.5166666666666675,3.44444444444445,494.2
542,17922,15.0,17.85,bike,2.8500000000000014,19.000000000000007,554.2
807,18199,30.0,55.29166666666667,bike,25.29166666666667,84.30555555555557,1869.9
805,18200,40.0,54.5,bike,14.5,36.25,1936.1
527,18672,20.0,17.283333333333335,bike,2.716666666666665,13.583333333333325,853.8
392,18673,20.0,12.383333333333333,bike,7.616666666666667,38.083333333333336,878.5
326,18826,20.0,10.541666666666668,bike,9.458333333333332,47.29166666666666,409.7
309,18827,20.0,10.216666666666665,bike,9.783333333333335,48.91666666666667,378.6
253,19028,15.0,8.683333333333334,bike,6.316666666666666,42.11111111111111,258.8
390,19029,25.0,12.35,bike,12.65,50.6,306.0
710,19450,25.0,29.05,bike,4.050000000000001,16.200000000000003,1052.0
712,19451,25.0,29.05,bike,4.050000000000001,16.200000000000003,1046.5
803,19944,40.0,53.24166666666667,bike,13.241666666666667,33.10416666666667,1666.2
780,19945,30.0,41.975,bike,11.975000000000001,39.91666666666667,1398.3
525,20037,30.0,17.225,bike,12.774999999999999,42.58333333333333,1000.9
545,20038,30.0,18.1,bike,11.899999999999999,39.666666666666664,1080.2
592,20039,30.0,20.8,bike,9.2,30.666666666666664,1000.9
580,20040,30.0,20.041666666666668,bike,9.958333333333332,33.19444444444444,1080.2
548,20262,30.0,18.366666666666667,bike,11.633333333333333,38.77777777777778,1192.5
678,20263,30.0,26.85,bike,3.1499999999999986,10.499999999999995,1338.4
730,21206,20.0,31.458333333333336,bike,11.458333333333336,57.29166666666667,1262.1
733,21207,20.0,31.666666666666664,bike,11.666666666666664,58.33333333333333,1065.1
793,21788,31.0,47.38333333333333,bike,16.383333333333333,52.84946236559139,1527.7
798,21791,35.0,48.06666666666667,bike,13.06666666666667,37.33333333333334,1422.1
481,22002,30.0,15.6,bike,14.4,48.00000000000001,553.7
522,22003,20.0,17.0,bike,3.0,15.0,583.5
567,22419,10.0,19.316666666666666,bike,9.316666666666666,93.16666666666666,529.2
647,22468,20.0,23.8,bike,3.8000000000000007,19.000000000000004,1051.7
703,22469,20.0,28.5,bike,8.5,42.5,771.5
687,22754,15.0,27.666666666666668,bike,12.666666666666668,84.44444444444446,755.5
691,22755,15.0,27.9,bike,12.899999999999999,85.99999999999999,761.3
576,22978,15.0,19.95,bike,4.949999999999999,32.99999999999999,451.9
489,22979,15.0,15.85,bike,0.8499999999999996,5.666666666666664,429.6
575,22980,15.0,19.95,bike,4.949999999999999,32.99999999999999,451.9
490,22981,20.0,15.85,bike,4.15,20.75,429.6
766,23150,30.0,39.05,bike,9.049999999999997,30.166666666666657,1388.8
